wall_ts,node,seq,sample_index,value
1778033297.945575,1,317,0,65535
1778033297.945575,1,317,1,65535
1778033297.945575,1,317,2,65535
1778033297.945575,1,317,3,65535
1778033297.945575,1,317,4,65535
1778033297.945575,1,317,5,65535
1778033297.945575,1,317,6,65535
1778033297.945575,1,317,7,65535
1778033297.945575,1,317,8,65535
1778033297.945575,1,317,9,65535
1778033297.945575,1,317,10,65535
1778033297.945575,1,317,11,65535
1778033297.945575,1,317,12,65535
1778033297.945575,1,317,13,65535
1778033297.945575,1,317,14,65535
1778033297.945575,1,317,15,65535
1778033297.945575,1,317,16,65535
1778033297.945575,1,317,17,65535
1778033297.945575,1,317,18,65535
1778033297.945575,1,317,19,65535
1778033297.945575,1,317,20,65535
1778033297.945575,1,317,21,65535
1778033297.945575,1,317,22,65535
1778033297.945575,1,317,23,65535
1778033297.945575,1,317,24,65535
1778033297.945575,1,317,25,65535
1778033297.945575,1,317,26,65535
1778033297.945575,1,317,27,65535
1778033297.945575,1,317,28,65535
1778033297.945575,1,317,29,65535
1778033297.945575,1,317,30,65535
1778033297.945575,1,317,31,65535
1778033298.04703,1,318,0,65535
1778033298.04703,1,318,1,65535
1778033298.04703,1,318,2,65535
1778033298.04703,1,318,3,65535
1778033298.04703,1,318,4,65535
1778033298.04703,1,318,5,65535
1778033298.04703,1,318,6,65535
1778033298.04703,1,318,7,65535
1778033298.04703,1,318,8,65535
1778033298.04703,1,318,9,65535
1778033298.04703,1,318,10,65535
1778033298.04703,1,318,11,65535
1778033298.04703,1,318,12,65535
1778033298.04703,1,318,13,65535
1778033298.04703,1,318,14,65535
1778033298.04703,1,318,15,65535
1778033298.04703,1,318,16,65535
1778033298.04703,1,318,17,65535
1778033298.04703,1,318,18,65535
1778033298.04703,1,318,19,65535
1778033298.04703,1,318,20,65535
1778033298.04703,1,318,21,65535
1778033298.04703,1,318,22,65535
1778033298.04703,1,318,23,65535
1778033298.04703,1,318,24,65535
1778033298.04703,1,318,25,65535
1778033298.04703,1,318,26,65535
1778033298.04703,1,318,27,65535
1778033298.04703,1,318,28,65535
1778033298.04703,1,318,29,65535
1778033298.04703,1,318,30,65535
1778033298.04703,1,318,31,65535
1778033298.250008,1,319,0,65535
1778033298.250008,1,319,1,65535
1778033298.250008,1,319,2,65535
1778033298.250008,1,319,3,65535
1778033298.250008,1,319,4,65535
1778033298.250008,1,319,5,65535
1778033298.250008,1,319,6,65535
1778033298.250008,1,319,7,65535
1778033298.250008,1,319,8,65535
1778033298.250008,1,319,9,65535
1778033298.250008,1,319,10,65535
1778033298.250008,1,319,11,65535
1778033298.250008,1,319,12,65535
1778033298.250008,1,319,13,65535
1778033298.250008,1,319,14,65535
1778033298.250008,1,319,15,65535
1778033298.250008,1,319,16,65535
1778033298.250008,1,319,17,65535
1778033298.250008,1,319,18,65535
1778033298.250008,1,319,19,65535
1778033298.250008,1,319,20,65535
1778033298.250008,1,319,21,65535
1778033298.250008,1,319,22,65535
1778033298.250008,1,319,23,65535
1778033298.250008,1,319,24,65535
1778033298.250008,1,319,25,65535
1778033298.250008,1,319,26,65535
1778033298.250008,1,319,27,65535
1778033298.250008,1,319,28,65535
1778033298.250008,1,319,29,65535
1778033298.250008,1,319,30,65535
1778033298.250008,1,319,31,65535
1778033298.3515341,1,320,0,65535
1778033298.3515341,1,320,1,65535
1778033298.3515341,1,320,2,65535
1778033298.3515341,1,320,3,65535
1778033298.3515341,1,320,4,65535
1778033298.3515341,1,320,5,65535
1778033298.3515341,1,320,6,65535
1778033298.3515341,1,320,7,65535
1778033298.3515341,1,320,8,65535
1778033298.3515341,1,320,9,65535
1778033298.3515341,1,320,10,65535
1778033298.3515341,1,320,11,65535
1778033298.3515341,1,320,12,65535
1778033298.3515341,1,320,13,65535
1778033298.3515341,1,320,14,65535
1778033298.3515341,1,320,15,65535
1778033298.3515341,1,320,16,65535
1778033298.3515341,1,320,17,65535
1778033298.3515341,1,320,18,65535
1778033298.3515341,1,320,19,65535
1778033298.3515341,1,320,20,65535
1778033298.3515341,1,320,21,65535
1778033298.3515341,1,320,22,65535
1778033298.3515341,1,320,23,65535
1778033298.3515341,1,320,24,65535
1778033298.3515341,1,320,25,65535
1778033298.3515341,1,320,26,65535
1778033298.3515341,1,320,27,65535
1778033298.3515341,1,320,28,65535
1778033298.3515341,1,320,29,65535
1778033298.3515341,1,320,30,65535
1778033298.3515341,1,320,31,65535
1778033298.452838,1,321,0,65535
1778033298.452838,1,321,1,65535
1778033298.452838,1,321,2,65535
1778033298.452838,1,321,3,65535
1778033298.452838,1,321,4,65535
1778033298.452838,1,321,5,65535
1778033298.452838,1,321,6,65535
1778033298.452838,1,321,7,65535
1778033298.452838,1,321,8,65535
1778033298.452838,1,321,9,65535
1778033298.452838,1,321,10,65535
1778033298.452838,1,321,11,65535
1778033298.452838,1,321,12,65535
1778033298.452838,1,321,13,65535
1778033298.452838,1,321,14,65535
1778033298.452838,1,321,15,65535
1778033298.452838,1,321,16,65535
1778033298.452838,1,321,17,65535
1778033298.452838,1,321,18,65535
1778033298.452838,1,321,19,65535
1778033298.452838,1,321,20,65535
1778033298.452838,1,321,21,65535
1778033298.452838,1,321,22,65535
1778033298.452838,1,321,23,65535
1778033298.452838,1,321,24,65535
1778033298.452838,1,321,25,65535
1778033298.452838,1,321,26,65535
1778033298.452838,1,321,27,65535
1778033298.452838,1,321,28,65535
1778033298.452838,1,321,29,65535
1778033298.452838,1,321,30,65535
1778033298.452838,1,321,31,65535
1778033298.554431,1,322,0,65535
1778033298.554431,1,322,1,65535
1778033298.554431,1,322,2,65535
1778033298.554431,1,322,3,65535
1778033298.554431,1,322,4,65535
1778033298.554431,1,322,5,65535
1778033298.554431,1,322,6,65535
1778033298.554431,1,322,7,65535
1778033298.554431,1,322,8,65535
1778033298.554431,1,322,9,65535
1778033298.554431,1,322,10,65535
1778033298.554431,1,322,11,65535
1778033298.554431,1,322,12,65535
1778033298.554431,1,322,13,65535
1778033298.554431,1,322,14,65535
1778033298.554431,1,322,15,65535
1778033298.554431,1,322,16,65535
1778033298.554431,1,322,17,65535
1778033298.554431,1,322,18,65535
1778033298.554431,1,322,19,65535
1778033298.554431,1,322,20,65535
1778033298.554431,1,322,21,65535
1778033298.554431,1,322,22,65535
1778033298.554431,1,322,23,65535
