wall_ts,node,seq,sample_index,value
1778033633.9896572,1,0,0,65535
1778033633.9896572,1,0,1,65535
1778033633.9896572,1,0,2,65535
1778033633.9896572,1,0,3,65535
1778033633.9896572,1,0,4,65535
1778033633.9896572,1,0,5,65535
1778033633.9896572,1,0,6,65535
1778033633.9896572,1,0,7,65535
1778033633.9896572,1,0,8,65535
1778033633.9896572,1,0,9,65535
1778033633.9896572,1,0,10,65535
1778033633.9896572,1,0,11,65535
1778033633.9896572,1,0,12,65535
1778033633.9896572,1,0,13,65535
1778033633.9896572,1,0,14,65535
1778033633.9896572,1,0,15,65535
1778033633.9896572,1,0,16,65535
1778033633.9896572,1,0,17,65535
1778033633.9896572,1,0,18,65535
1778033633.9896572,1,0,19,65535
1778033633.9896572,1,0,20,65535
1778033633.9896572,1,0,21,65535
1778033633.9896572,1,0,22,65535
1778033633.9896572,1,0,23,65535
1778033633.9896572,1,0,24,65535
1778033633.9896572,1,0,25,65535
1778033633.9896572,1,0,26,65535
1778033633.9896572,1,0,27,65535
1778033633.9896572,1,0,28,65535
1778033633.9896572,1,0,29,65535
1778033633.9896572,1,0,30,65535
1778033633.9896572,1,0,31,65535
1778033634.091136,1,1,0,65535
1778033634.091136,1,1,1,65535
1778033634.091136,1,1,2,65535
1778033634.091136,1,1,3,65535
1778033634.091136,1,1,4,65535
1778033634.091136,1,1,5,65535
1778033634.091136,1,1,6,65535
1778033634.091136,1,1,7,65535
1778033634.091136,1,1,8,65535
1778033634.091136,1,1,9,65535
1778033634.091136,1,1,10,65535
1778033634.091136,1,1,11,65535
1778033634.091136,1,1,12,65535
1778033634.091136,1,1,13,65535
1778033634.091136,1,1,14,65535
1778033634.091136,1,1,15,65535
1778033634.091136,1,1,16,65535
1778033634.091136,1,1,17,65535
1778033634.091136,1,1,18,65535
1778033634.091136,1,1,19,65535
1778033634.091136,1,1,20,65535
1778033634.091136,1,1,21,65535
1778033634.091136,1,1,22,65535
1778033634.091136,1,1,23,65535
1778033634.091136,1,1,24,65535
1778033634.091136,1,1,25,65535
1778033634.091136,1,1,26,65535
1778033634.091136,1,1,27,65535
1778033634.091136,1,1,28,65535
1778033634.091136,1,1,29,65535
1778033634.091136,1,1,30,65535
1778033634.091136,1,1,31,65535
1778033634.192149,1,2,0,65535
1778033634.192149,1,2,1,65535
1778033634.192149,1,2,2,65535
1778033634.192149,1,2,3,65535
1778033634.192149,1,2,4,65535
1778033634.192149,1,2,5,65535
1778033634.192149,1,2,6,65535
1778033634.192149,1,2,7,65535
1778033634.192149,1,2,8,65535
1778033634.192149,1,2,9,65535
1778033634.192149,1,2,10,65535
1778033634.192149,1,2,11,65535
1778033634.192149,1,2,12,65535
1778033634.192149,1,2,13,65535
1778033634.192149,1,2,14,65535
1778033634.192149,1,2,15,65535
1778033634.192149,1,2,16,65535
1778033634.192149,1,2,17,65535
1778033634.192149,1,2,18,65535
1778033634.192149,1,2,19,65535
1778033634.192149,1,2,20,65535
1778033634.192149,1,2,21,65535
1778033634.192149,1,2,22,65535
1778033634.192149,1,2,23,65535
1778033634.192149,1,2,24,65535
1778033634.192149,1,2,25,65535
1778033634.192149,1,2,26,65535
1778033634.192149,1,2,27,65535
1778033634.192149,1,2,28,65535
1778033634.192149,1,2,29,65535
1778033634.192149,1,2,30,65535
1778033634.192149,1,2,31,65535
1778033634.3934422,1,3,0,65535
1778033634.3934422,1,3,1,65535
1778033634.3934422,1,3,2,65535
1778033634.3934422,1,3,3,65535
1778033634.3934422,1,3,4,65535
1778033634.3934422,1,3,5,65535
1778033634.3934422,1,3,6,65535
1778033634.3934422,1,3,7,65535
1778033634.3934422,1,3,8,65535
1778033634.3934422,1,3,9,65535
1778033634.3934422,1,3,10,65535
1778033634.3934422,1,3,11,65535
1778033634.3934422,1,3,12,65535
1778033634.3934422,1,3,13,65535
1778033634.3934422,1,3,14,65535
1778033634.3934422,1,3,15,65535
1778033634.3934422,1,3,16,65535
1778033634.3934422,1,3,17,65535
1778033634.3934422,1,3,18,65535
1778033634.3934422,1,3,19,65535
1778033634.3934422,1,3,20,65535
1778033634.3934422,1,3,21,65535
1778033634.3934422,1,3,22,65535
1778033634.3934422,1,3,23,65535
1778033634.3934422,1,3,24,65535
1778033634.3934422,1,3,25,65535
1778033634.3934422,1,3,26,65535
1778033634.3934422,1,3,27,65535
1778033634.3934422,1,3,28,65535
1778033634.3934422,1,3,29,65535
1778033634.3934422,1,3,30,65535
1778033634.3934422,1,3,31,65535
1778033634.494215,1,4,0,65535
1778033634.494215,1,4,1,65535
1778033634.494215,1,4,2,65535
1778033634.494215,1,4,3,65535
1778033634.494215,1,4,4,65535
1778033634.494215,1,4,5,65535
1778033634.494215,1,4,6,65535
1778033634.494215,1,4,7,65535
1778033634.494215,1,4,8,65535
1778033634.494215,1,4,9,65535
1778033634.494215,1,4,10,65535
1778033634.494215,1,4,11,65535
1778033634.494215,1,4,12,65535
1778033634.494215,1,4,13,65535
1778033634.494215,1,4,14,65535
1778033634.494215,1,4,15,65535
1778033634.494215,1,4,16,65535
1778033634.494215,1,4,17,65535
1778033634.494215,1,4,18,65535
1778033634.494215,1,4,19,65535
1778033634.494215,1,4,20,65535
1778033634.494215,1,4,21,65535
1778033634.494215,1,4,22,65535
1778033634.494215,1,4,23,65535
1778033634.494215,1,4,24,65535
1778033634.494215,1,4,25,65535
1778033634.494215,1,4,26,65535
1778033634.494215,1,4,27,65535
1778033634.494215,1,4,28,65535
1778033634.494215,1,4,29,65535
1778033634.494215,1,4,30,65535
1778033634.494215,1,4,31,65535
1778033634.594784,1,5,0,65535
1778033634.594784,1,5,1,65535
1778033634.594784,1,5,2,65535
1778033634.594784,1,5,3,65535
1778033634.594784,1,5,4,65535
1778033634.594784,1,5,5,65535
1778033634.594784,1,5,6,65535
1778033634.594784,1,5,7,65535
1778033634.594784,1,5,8,65535
1778033634.594784,1,5,9,65535
1778033634.594784,1,5,10,65535
1778033634.594784,1,5,11,65535
1778033634.594784,1,5,12,65535
1778033634.594784,1,5,13,65535
1778033634.594784,1,5,14,65535
1778033634.594784,1,5,15,65535
1778033634.594784,1,5,16,65535
1778033634.594784,1,5,17,65535
1778033634.594784,1,5,18,65535
1778033634.594784,1,5,19,65535
1778033634.594784,1,5,20,65535
1778033634.594784,1,5,21,65535
1778033634.594784,1,5,22,65535
1778033634.594784,1,5,23,65535
1778033634.594784,1,5,24,65535
1778033634.594784,1,5,25,65535
