wall_ts,node,hr,spo2,body_temp,env_temp,gas_ppm,rssi_master
1778033298.1485078,1,,,36.78,,,-56
1778033298.6560278,1,,,36.75,,,-57
1778033299.162645,1,,,36.75,,,-57
1778033299.666686,1,,,36.73,,,-57
1778033300.1787038,1,,,36.73,,,-57
1778033300.703369,1,,,36.71,,,-57
1778033301.21037,1,,,36.71,,,-57
1778033301.719269,1,,,36.69,,,-57
1778033302.229036,1,,,36.69,,,-60
1778033302.637629,1,,,36.68,,,-75
1778033303.6731992,1,,,36.71,,,-64
1778033304.198252,1,,,36.71,,,-57
1778033304.712645,1,,85.64,36.76,,,-62
1778033305.139887,1,,85.64,36.76,,,-62
1778033305.666276,1,,85.64,36.8,,,-62
1778033306.195462,1,,85.64,36.8,,,-63
1778033306.718304,1,,85.64,36.84,,,-62
1778033307.137264,1,,85.64,36.84,,,-64
1778033307.66094,1,,85.64,36.88,,,-64
1778033308.185539,1,,85.64,36.88,,,-66
1778033308.7081358,1,,,36.92,,,-68
1778033309.142772,1,,85.64,36.92,,,-67
1778033309.669479,1,,85.64,36.95,,,-65
1778033310.1939452,1,,85.64,36.95,,,-65
1778033310.722446,1,,85.64,36.97,,,-65
1778033311.143052,1,,85.64,36.97,,,-66
1778033311.666235,1,,85.64,37.0,,,-64
1778033312.192467,1,,85.64,37.0,,,-66
1778033312.721447,1,,85.64,37.02,,,-66
1778033313.1410072,1,,85.64,37.02,,,-66
1778033313.667031,1,,85.64,37.04,,,-65
1778033314.190631,1,,85.64,37.04,,,-65
1778033314.715452,1,,85.64,37.03,,,-66
1778033315.1341188,1,,85.64,37.03,,,-64
1778033315.662127,1,,85.64,37.02,,,-65
1778033316.185091,1,,85.64,37.02,,,-61
1778033316.706696,1,,85.64,37.02,,,-58
1778033317.234816,1,,,37.02,,,-55
1778033317.67038,1,,,37.03,,,-56
1778033318.205197,1,,,37.03,,,-57
1778033318.7273989,1,,,37.04,,,-56
1778033319.6461382,1,,,37.06,,,-57
1778033320.163341,1,,,37.06,,,-56
1778033320.669466,1,,,37.02,,,-58
1778033321.1760461,1,,,37.02,,,-57
1778033321.68359,1,,,37.02,,,-56
1778033322.225261,1,,,37.02,,,-51
1778033322.6309812,1,,,37.02,,,-62
1778033323.137493,1,,,37.02,,,-61
1778033323.644769,1,,,36.99,,,-63
1778033324.152273,1,,,36.99,,,-66
1778033324.658481,1,,,36.96,,,-59
1778033325.164136,1,,,36.96,,,-59
1778033325.670609,1,,,36.94,,,-61
1778033326.177709,1,,,36.94,,,-63
1778033326.685175,1,,,36.92,,,-60
1778033327.191666,1,,,36.92,,,-59
