wall_ts,node,seq,sample_index,value
1778033636.84743,1,22,0,65535
1778033636.84743,1,22,1,65535
1778033636.84743,1,22,2,65535
1778033636.84743,1,22,3,65535
1778033636.84743,1,22,4,65535
1778033636.84743,1,22,5,65535
1778033636.84743,1,22,6,65535
1778033636.84743,1,22,7,65535
1778033636.84743,1,22,8,65535
1778033636.84743,1,22,9,65535
1778033636.84743,1,22,10,65535
1778033636.84743,1,22,11,65535
1778033636.84743,1,22,12,65535
1778033636.84743,1,22,13,65535
1778033636.84743,1,22,14,65535
1778033636.84743,1,22,15,65535
1778033636.84743,1,22,16,65535
1778033636.84743,1,22,17,65535
1778033636.84743,1,22,18,65535
1778033636.84743,1,22,19,65535
1778033636.84743,1,22,20,65535
1778033636.84743,1,22,21,65535
1778033636.84743,1,22,22,65535
1778033636.84743,1,22,23,65535
1778033636.84743,1,22,24,65535
1778033636.84743,1,22,25,65535
1778033636.84743,1,22,26,65535
1778033636.84743,1,22,27,65535
1778033636.84743,1,22,28,65535
1778033636.84743,1,22,29,65535
1778033636.84743,1,22,30,65535
1778033636.84743,1,22,31,65535
1778033636.9491148,1,23,0,65535
1778033636.9491148,1,23,1,65535
1778033636.9491148,1,23,2,65535
1778033636.9491148,1,23,3,65535
1778033636.9491148,1,23,4,65535
1778033636.9491148,1,23,5,65535
1778033636.9491148,1,23,6,65535
1778033636.9491148,1,23,7,65535
1778033636.9491148,1,23,8,65535
1778033636.9491148,1,23,9,65535
1778033636.9491148,1,23,10,65535
1778033636.9491148,1,23,11,65535
1778033636.9491148,1,23,12,65535
1778033636.9491148,1,23,13,65535
1778033636.9491148,1,23,14,65535
1778033636.9491148,1,23,15,65535
1778033636.9491148,1,23,16,65535
1778033636.9491148,1,23,17,65535
1778033636.9491148,1,23,18,65535
1778033636.9491148,1,23,19,65535
1778033636.9491148,1,23,20,65535
1778033636.9491148,1,23,21,65535
1778033636.9491148,1,23,22,65535
1778033636.9491148,1,23,23,65535
1778033636.9491148,1,23,24,65535
1778033636.9491148,1,23,25,65535
1778033636.9491148,1,23,26,65535
1778033636.9491148,1,23,27,65535
