wall_ts,node,seq,sample_index,value
1778045169.387069,1,580,25,65535
1778045169.387069,1,580,26,65535
1778045169.387069,1,580,27,65535
1778045169.387069,1,580,28,65535
1778045169.387069,1,580,29,65535
1778045169.387069,1,580,30,65535
1778045169.387069,1,580,31,65535
1778045169.49346,1,581,0,65535
1778045169.49346,1,581,1,65535
1778045169.49346,1,581,2,65535
1778045169.49346,1,581,3,65535
1778045169.49346,1,581,4,65535
1778045169.49346,1,581,5,65535
1778045169.49346,1,581,6,65535
1778045169.49346,1,581,7,65535
1778045169.49346,1,581,8,65535
1778045169.49346,1,581,9,65535
1778045169.49346,1,581,10,65535
1778045169.49346,1,581,11,65535
1778045169.49346,1,581,12,65535
1778045169.49346,1,581,13,65535
1778045169.49346,1,581,14,65535
1778045169.49346,1,581,15,65535
1778045169.49346,1,581,16,65535
1778045169.49346,1,581,17,65535
1778045169.49346,1,581,18,65535
1778045169.49346,1,581,19,65535
1778045169.49346,1,581,20,65535
1778045169.49346,1,581,21,65535
1778045169.49346,1,581,22,65535
1778045169.49346,1,581,23,65535
1778045169.49346,1,581,24,65535
1778045169.49346,1,581,25,65535
1778045169.49346,1,581,26,65535
1778045169.49346,1,581,27,65535
1778045169.49346,1,581,28,65535
1778045169.49346,1,581,29,65535
1778045169.49346,1,581,30,65535
1778045169.49346,1,581,31,65535
1778045169.598196,1,582,0,65535
1778045169.598196,1,582,1,65535
1778045169.598196,1,582,2,65535
1778045169.598196,1,582,3,65535
1778045169.598196,1,582,4,65535
1778045169.598196,1,582,5,65535
1778045169.598196,1,582,6,65535
1778045169.598196,1,582,7,65535
1778045169.598196,1,582,8,65535
1778045169.598196,1,582,9,65535
1778045169.598196,1,582,10,65535
1778045169.598196,1,582,11,65535
1778045169.598196,1,582,12,65535
1778045169.598196,1,582,13,65535
1778045169.598196,1,582,14,65535
1778045169.598196,1,582,15,65535
1778045169.598196,1,582,16,65535
1778045169.598196,1,582,17,65535
1778045169.598196,1,582,18,65535
1778045169.598196,1,582,19,65535
1778045169.598196,1,582,20,65535
1778045169.598196,1,582,21,65535
1778045169.598196,1,582,22,65535
1778045169.598196,1,582,23,65535
1778045169.598196,1,582,24,65535
1778045169.598196,1,582,25,65535
1778045169.598196,1,582,26,65535
1778045169.598196,1,582,27,65535
1778045169.598196,1,582,28,65535
1778045169.598196,1,582,29,65535
1778045169.598196,1,582,30,65535
1778045169.598196,1,582,31,65535
1778045169.705929,1,583,0,65535
1778045169.705929,1,583,1,65535
1778045169.705929,1,583,2,65535
1778045169.705929,1,583,3,65535
1778045169.705929,1,583,4,65535
1778045169.705929,1,583,5,65535
1778045169.705929,1,583,6,65535
1778045169.705929,1,583,7,65535
1778045169.705929,1,583,8,65535
1778045169.705929,1,583,9,65535
1778045169.705929,1,583,10,65535
1778045169.705929,1,583,11,65535
1778045169.705929,1,583,12,65535
1778045169.705929,1,583,13,65535
1778045169.705929,1,583,14,65535
1778045169.705929,1,583,15,65535
